Phylum;Class;Order;Family;Genus;strain;name;short;conc;TPEN_conc;AUCsmean;sdAUC;maxODmean;sdmax;finalODmean;sdfinal
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;0 µM;0;1,00000000000000000;0,000000000000000000;0,988466540878198852;0,033501870545574124;0,988466540878198852;0,033501870545574124
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;54 µM;54;0,99324976082316241;0,061454977011834541;0,982409602280321370;0,058230615471965015;0,982409602280321370;0,058230615471965015
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;60 µM;60;1,00291843530961589;0,058648107175246628;1,011908711051833443;0,054818288304656015;1,011908711051833443;0,054818288304656015
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;70 µM;70;0,94022873588386535;0,351799732750073424;0,954395796199808744;0,354088431135936355;0,954395796199808744;0,354088431135936355
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;80 µM;80;0,26453743800273744;0,361384780877577416;0,324303891776548392;0,392212179731509292;0,324303891776548392;0,392212179731509292
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;90 µM;90;0,13518394647780380;0,338197728056018887;0,140828620058923937;0,344134785907416252;0,140667822503046797;0,344196213977986054
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;100 µM;100;0,02969342179071955;0,013731985891729900;0,033209219860031308;0,017834754916000388;0,030818221266501064;0,015765661340898223
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;110 µM;110;0,02782863954539757;0,010154641962372778;0,034640257873437420;0,012270745529138342;0,034640257873437420;0,012270745529138342
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;120 µM;120;0,02823614310465727;0,008846059430119785;0,035540381378350354;0,011075596676266534;0,035540381378350354;0,011075596676266534
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;130 µM;130;0,02644996052361379;0,010408346567192256;0,035687643142433119;0,014714464145565610;0,035687643142433119;0,014714464145565610
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14073;Lactobacillus ruminis;L. ruminis;140 µM;140;0,02597715232665653;0,009300209861618546;0,035426633518767292;0,014887987614561874;0,035426633518767292;0,014887987614561874
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14076;Lactobacillus fermentum;L. fermentum;blank;blank;0,00615408323026945;0,005493629540931285;0,009071191323388465;0,024447819534768281;-0,002429366819878641;0,003262467667665140
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14076;Lactobacillus fermentum;L. fermentum;0 µM;0;1,00000000000000000;0,000000000000000000;0,991405300854419469;0,039821784136305736;0,991405300854419469;0,039821784136305736
Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;14076;Lactobacillus fermentum;L. fermentum;54 µM;54;0,97782502795731829;0,025365734706366713;0,964204666268893007;0,050927403987913455;0,964204666268893007;0,050927403987913455
